"Service","EC2-Instances($)","Tax($)","EC2-Other($)","VPC($)","Key Management Service($)","CloudWatch($)","Total costs($)"
"Service total","14.6540238226","2.85","1.1817353526","0.001055555","0","0","18.6868147302"
"2024-10-01","0.4691329715","2.85","0.0000020342","0","","","3.3191350057"
"2024-10-02","1.0496040704","","0.0000036675","0","","","1.0496077379"
"2024-10-03","1.5744062753","","0.0000038833","0","","","1.5744101586"
"2024-10-04","1.5744062583","","0.0000116217","0","0","","1.57441788"
"2024-10-05","1.5744062736","","0.0000063422","0","","","1.5744126158"
"2024-10-06","1.5744063146","","0.0000051007","0","","","1.5744114153"
"2024-10-07","1.5744063325","","0.0000002301","0","","","1.5744065626"
"2024-10-08","1.5744062941","","0.0000001834","0","","","1.5744064775"
"2024-10-09","1.5744062826","","0.00000025","0","","","1.5744065326"
"2024-10-10","1.5744063527","","0.0000002148","0","","","1.5744065675"
"2024-10-11","0.4948083326","","0.0000014772","0.001055555","","0","0.4958653648"
"2024-10-12","","","0","","","","0"
"2024-10-13","","","0","","","","0"
"2024-10-14","0.001785785","","0","0","","","0.001785785"
"2024-10-15","0.0099861359","","0.0000197522","0","","","0.0100058881"
"2024-10-16","","","0","","","","0"
"2024-10-17","","","0","","","","0"
"2024-10-18","0.0030431383","","0","0","","","0.0030431383"
"2024-10-19","","","0","","","","0"
"2024-10-20","","","0","","","","0"
"2024-10-21","0.026404101","","0.0590960903","0","","","0.0855001913"
"2024-10-22","","","0.1122580632","","","","0.1122580632"
"2024-10-23","0.0040089042","","0.1122619362","0","","","0.1162708404"
"2024-10-24","","","0.1122580632","","","","0.1122580632"
"2024-10-25","","","0.1122580632","","","","0.1122580632"
"2024-10-26","","","0.1122580632","","","","0.1122580632"
"2024-10-27","","","0.1122580632","","","","0.1122580632"
"2024-10-28","","","0.1122580632","","","","0.1122580632"
"2024-10-29","","","0.1122580632","","","","0.1122580632"
"2024-10-30","","","0.1122580632","","","","0.1122580632"
"2024-10-31","","","0.1122580632","","","","0.1122580632"
